Date,Open,High,Low,Close,Volume
1/31/2015,5233.8,5325.04,5121.81,5289.4,0
2/28/2015,5277.15,5464.22,5254.04,5450.29,0
3/31/2015,5452.83,5518.68,5350.47,5518.68,0
4/30/2015,5516.8,5524.04,5015.01,5086.43,0
5/31/2015,5093.33,5347.13,5089.42,5216.38,0
6/30/2015,5212.13,5215.55,4826.13,4910.66,0
7/31/2015,4924.07,4982.91,4711.49,4802.53,0
8/31/2015,4778.04,4868.07,4111.11,4509.61,0
9/30/2015,4484.2,4484.79,4033.59,4223.91,0
10/31/2015,4231.41,4696.16,4207.8,4455.18,0
11/30/2015,4442.42,4621.26,4395.97,4446.46,0
12/31/2015,4504.22,4595.51,4330.76,4593.01,0
1/31/2016,4580.17,4639.24,4408.8,4615.16,0
2/29/2016,4620.15,4803.61,4545.14,4770.96,0
3/31/2016,4760.24,4908.26,4757.8,4845.37,0
4/30/2016,4843.39,4920.4,4766.81,4838.58,0
5/31/2016,4828.96,4845.12,4690.56,4796.87,0
6/30/2016,4801.85,5033.24,4754.36,5016.65,0
7/31/2016,5027.62,5334.12,4971.58,5215.99,0
8/31/2016,5280.21,5476.22,5279.59,5386.08,0
9/30/2016,5368.52,5474.31,5128.32,5364.8,0
10/31/2016,5403.86,5482.31,5332.09,5422.54,0
11/30/2016,5430.75,5491.4,5044.24,5148.91,0
12/31/2016,5168.63,5334.15,5023.26,5296.71,0
1/31/2017,5290.39,5359.55,5228.29,5294.1,0
2/28/2017,5319.94,5417.98,5318.46,5386.69,0
3/31/2017,5389.17,5606,5350.91,5568.11,0
4/30/2017,5583.35,5726.53,5577.49,5685.3,0
5/31/2017,5703.87,5874.22,5577.59,5738.16,0
6/30/2017,5749.42,5830.98,5668.72,5829.708,0
7/31/2017,5846.6,5910.24,5756.6,5840.94,0
8/31/2017,5853.51,5916.72,5749.29,5864.06,0
9/30/2017,5858.21,5927.11,5774.43,5900.85,0
10/31/2017,5917.75,6042.45,5860.83,6005.78,0
11/30/2017,6017.04,6098.78,5952.14,5952.14,0
12/31/2017,6014.06,6368.13,5979.59,6355.65,0
1/31/2018,6366.08,6686.23,6221.52,6605.63,0
2/28/2018,6625.35,6693.46,6426.82,6597.22,0
3/31/2018,6605.31,6630.13,6085.64,6188.99,0
4/30/2018,6194.51,6379.8,5885.72,5994.6,0
5/31/2018,6000.4,6095.26,5717.63,5983.59,0
6/30/2018,6004.12,6116.14,5662.23,5799.24,0
7/31/2018,5828.5,6027.94,5558.02,5936.44,0
8/31/2018,5952.94,6115.98,5690.35,6018.46,0
9/30/2018,6025.41,6025.85,5623.02,5976.55,0
10/31/2018,5950.86,5982.06,5625.45,5831.65,0
11/30/2018,5855.22,6116.29,5749.44,6056.12,0
12/31/2018,6118.06,6212.12,6015.39,6194.5,0
1/31/2019,6197.87,6542.6,6165.94,6532.97,0
2/28/2019,6552.06,6580.51,6375.11,6443.35,0
3/31/2019,6468.62,6537.02,6337.89,6468.76,0
4/30/2019,6485.72,6634.22,6322.13,6455.35,0
5/31/2019,6458.12,6464.42,5768.9,6209.12,0
6/30/2019,6277.29,6376.436,6190.53,6358.629,0
7/31/2019,6381.18,6467.12,6283.83,6390.51,0
8/31/2019,6385.26,6403.56,6023.72,6328.47,0
9/30/2019,6331.15,6412.86,6086.61,6169.102,0
10/31/2019,6163.98,6344.42,5989.77,6228.317,0
11/30/2019,6225.82,6273.92,5939.422,6011.83,0
12/31/2019,6023.61,6337.28,6023.61,6299.54,0
1/31/2020,6313.13,6347.33,5938.496,5940.048,0
2/29/2020,5920.97,6011.791,5288.786,5452.704,0
3/31/2020,5455.046,5715.051,3912.268,4538.93,0
4/30/2020,4533.114,4971.123,4396.111,4716.403,0
5/31/2020,4630.822,4754.993,4460.901,4753.612,0
6/30/2020,4774.698,5139.088,4713.203,4905.392,0
7/31/2020,4910.037,5162.282,4886.194,5149.627,0
8/31/2020,5141.973,5379.783,4928.468,5238.487,0
9/30/2020,5237.793,5331.18,4755.626,4870.039,0
10/31/2020,4899.644,5181.657,4884.281,5128.225,0
11/30/2020,5108.029,5798.03,5074.83,5612.415,0
12/31/2020,5637.894,6194.789,5595.209,5979.073,0
1/31/2021,5997.83,6503.859,5826.406,5862.352,0
2/28/2021,5856.777,6313.383,5737.13,6241.796,0
3/31/2021,6281.857,6393.392,5893.835,5985.522,0
4/30/2021,5988.023,6114.076,5884.593,5995.616,0
5/31/2021,5999.661,6004.421,5743.268,5947.463,0
6/30/2021,6002.481,6132.714,5886.82,5985.489,0
7/31/2021,6001.121,6165.051,5948.012,6070.039,0
8/31/2021,6098.008,6261.829,5939.353,6150.299,0
9/30/2021,6157.821,6286.943,5983.929,6286.943,0
10/31/2021,6269.238,6685.76,6202.906,6591.346,0
11/30/2021,6618.122,6752.26,6481.778,6533.932,0
12/31/2021,6544.517,6686.957,6484.996,6581.482,0
1/31/2022,6586.26,6736.089,6524.334,6631.151,0
2/28/2022,6657.792,6929.899,6649.329,6888.171,0
3/31/2022,6964.697,7098.03,6814.183,7071.442,0
4/30/2022,7093.699,7352.322,7041.462,7228.914,0
5/31/2022,7154.917,7154.917,6511.871,7148.97,0
6/30/2022,7130.601,7256.009,6860.321,6911.582,0
7/31/2022,6919.069,7029.547,6561.595,6951.123,0
8/31/2022,6972.525,7229.539,6906.68,7178.59,0
9/30/2022,7166.428,7373.774,6928.224,7040.798,0
10/31/2022,7017.01,7132.12,6750.835,7098.89,0
11/30/2022,7126.819,7126.819,6957.15,7081.313,0
12/31/2022,7077.019,7087.752,6644.091,6850.619,0
1/31/2023,6841.743,6931.138,6558.706,6839.342,0
2/28/2023,6860.779,6961.478,6782.826,6843.239,0
3/31/2023,6866.462,6887.469,6545.71,6805.277,0
4/30/2023,6838.969,6969.998,6735.193,6915.716,0
5/31/2023,6914.766,6918.512,6564.709,6633.261,0
6/30/2023,6622.161,6744.204,6579.687,6661.879,0
7/31/2023,6673.783,6964.73,6667.09,6931.359,0
8/31/2023,6930.715,7007.225,6824.617,6953.26,0
9/30/2023,6965.035,7045.197,6901.091,6939.892,0
10/31/2023,6954.704,6991.762,6666.685,6752.211,0
11/30/2023,6768.445,7109.609,6640.303,7080.741,0
12/31/2023,7077.504,7308.894,7026.777,7272.797,0
1/31/2024,7268.398,7401.422,7101.71,7207.941,0
2/29/2024,7210.247,7370.654,7182.114,7316.111,0
3/31/2024,7319.224,7451.892,7240.264,7288.813,0
4/30/2024,7289.524,7297.048,7026.004,7234.197,0
5/31/2024,7231.003,7373.813,6960.075,6970.736,0
6/30/2024,7029.17,7149.122,6701.183,7063.577,0
7/31/2024,7080.46,7352.338,7077.88,7255.762,0
8/31/2024,7275.226,7714.556,6999.762,7670.733,0
9/30/2024,7672.392,7907.827,7527.929,7527.929,0
10/31/2024,7550.851,7804.507,7452.27,7574.019,0
11/30/2024,7574.583,7577.444,7108.39,7114.266,0
12/31/2024,7121.4,7529.77,6932.6,7079.905,0
1/31/2025,7095.97,7323.62,6956.67,7109.196,0
2/28/2025,7078.83,7123.85,6249.94,6270.597,0
3/31/2025,6367.51,6705.62,5967.36,6510.62,0
4/30/2025,5912.06,6790.53,5888.04,6766.795,0
5/31/2025,6805.77,7237.73,6765.83,7175.819,0
6/30/2025,7146.07,7237.08,6745.39,6927.679,0
7/31/2025,6954.63,7679.9,6838.61,7484.337,0
8/31/2025,7545.58,8022.71,7448.15,7830.493,0
9/30/2025,7617.03,8169.02,7551.64,8061.06,0
10/31/2025,8069.94,8353.62,7855.11,8163.875,0
11/30/2025,8212.02,8618.09,8182.24,8508.706,0
12/31/2025,8541.59,8775.35,8496.21,8646.938,0
1/31/2026,8680.19,9173.97,7488.46,8329.606,0
2/28/2026,8306.163,8437.089,7712.348,8235.49,7.08359E+11
3/31/2026,8092.905,8133.692,6917.322,7048.222,4.89683E+11
4/30/2026,7149.253,7773.578,6876.58,6956.8,7.03437E+11
5/31/2026,6988.916,7207.075,6763.02,6858.9,2.29649E+11
